2026-06-26 09:42:13 | DEBUG    | connectionpool:241 | Starting new HTTP connection (1): 10.40.91.141:5100
2026-06-26 09:42:17 | DEBUG    | server_yolo:24 | {'server_id': 'SV_001', 'cpu_usage': 17.1, 'has_gpu': True, 'gpu_usage': 0, 'vram_free_gb': 3.23}
2026-06-26 09:42:17 | INFO     | _internal:97 | 10.40.91.11 - - [26/Jun/2026 09:42:17] "POST /api/heartbeat HTTP/1.1" 200 -
2026-06-26 09:42:20 | DEBUG    | connectionpool:241 | Starting new HTTP connection (1): 10.40.91.141:5100
2026-06-26 09:42:22 | DEBUG    | connectionpool:544 | http://10.40.91.11:8000 "POST /api/sync_cameras HTTP/1.1" 200 182
2026-06-26 09:42:23 | DEBUG    | server_yolo:24 | {'server_id': 'SV_001', 'cpu_usage': 28.0, 'has_gpu': True, 'gpu_usage': 0, 'vram_free_gb': 3.23}
2026-06-26 09:42:23 | INFO     | _internal:97 | 10.40.91.11 - - [26/Jun/2026 09:42:23] "POST /api/heartbeat HTTP/1.1" 200 -
2026-06-26 09:42:25 | DEBUG    | connectionpool:241 | Starting new HTTP connection (1): 10.40.91.141:5100
2026-06-26 09:59:07 | INFO     | app:3 | 🎬 [MASTER] Hệ thống Logger toàn cục đã kích hoạt thành công!
2026-06-26 09:59:08 | DEBUG    | connectionpool:241 | Starting new HTTP connection (1): 10.40.91.11:8000
2026-06-26 09:59:08 | DEBUG    | connectionpool:241 | Starting new HTTP connection (1): 10.40.91.11:8000
2026-06-26 09:59:08 | DEBUG    | connectionpool:241 | Starting new HTTP connection (1): 10.40.91.141:5100
2026-06-26 09:59:08 | DEBUG    | connectionpool:241 | Starting new HTTP connection (1): 10.40.91.141:5100
2026-06-26 09:59:12 | INFO     | _internal:97 | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://10.40.91.11:5000
2026-06-26 09:59:12 | INFO     | _internal:97 | [33mPress CTRL+C to quit[0m
2026-06-26 09:59:12 | DEBUG    | connectionpool:241 | Starting new HTTP connection (1): 10.40.91.141:5100
2026-06-26 09:59:13 | DEBUG    | server_yolo:24 | {'server_id': 'SV_001', 'cpu_usage': 37.5, 'has_gpu': True, 'gpu_usage': 0, 'vram_free_gb': 3.23}
2026-06-26 09:59:13 | INFO     | _internal:97 | 10.40.91.11 - - [26/Jun/2026 09:59:13] "POST /api/heartbeat HTTP/1.1" 200 -
2026-06-26 09:59:19 | DEBUG    | server_yolo:24 | {'server_id': 'SV_001', 'cpu_usage': 19.8, 'has_gpu': True, 'gpu_usage': 0, 'vram_free_gb': 3.23}
2026-06-26 09:59:19 | INFO     | _internal:97 | 10.40.91.11 - - [26/Jun/2026 09:59:19] "POST /api/heartbeat HTTP/1.1" 200 -
2026-06-26 09:59:20 | DEBUG    | connectionpool:241 | Starting new HTTP connection (1): 10.40.91.11:8000
2026-06-26 09:59:20 | DEBUG    | connectionpool:241 | Starting new HTTP connection (1): 10.40.91.141:5100
2026-06-26 09:59:23 | DEBUG    | connectionpool:241 | Starting new HTTP connection (1): 10.40.91.141:5100
2026-06-26 09:59:25 | DEBUG    | server_yolo:24 | {'server_id': 'SV_001', 'cpu_usage': 17.0, 'has_gpu': True, 'gpu_usage': 0, 'vram_free_gb': 3.23}
2026-06-26 09:59:25 | INFO     | _internal:97 | 10.40.91.11 - - [26/Jun/2026 09:59:25] "POST /api/heartbeat HTTP/1.1" 200 -
2026-06-26 09:59:31 | DEBUG    | server_yolo:24 | {'server_id': 'SV_001', 'cpu_usage': 10.9, 'has_gpu': True, 'gpu_usage': 0, 'vram_free_gb': 3.23}
2026-06-26 09:59:31 | INFO     | _internal:97 | 10.40.91.11 - - [26/Jun/2026 09:59:31] "POST /api/heartbeat HTTP/1.1" 200 -
2026-06-26 09:59:31 | DEBUG    | connectionpool:241 | Starting new HTTP connection (1): 10.40.91.141:5100
2026-06-26 09:59:36 | DEBUG    | connectionpool:241 | Starting new HTTP connection (1): 10.40.91.141:5100
2026-06-26 09:59:37 | DEBUG    | server_yolo:24 | {'server_id': 'SV_001', 'cpu_usage': 23.7, 'has_gpu': True, 'gpu_usage': 0, 'vram_free_gb': 3.23}
2026-06-26 09:59:37 | INFO     | _internal:97 | 10.40.91.11 - - [26/Jun/2026 09:59:37] "POST /api/heartbeat HTTP/1.1" 200 -
2026-06-26 09:59:43 | DEBUG    | server_yolo:24 | {'server_id': 'SV_001', 'cpu_usage': 18.0, 'has_gpu': True, 'gpu_usage': 0, 'vram_free_gb': 3.23}
2026-06-26 09:59:43 | INFO     | _internal:97 | 10.40.91.11 - - [26/Jun/2026 09:59:43] "POST /api/heartbeat HTTP/1.1" 200 -
2026-06-26 09:59:44 | DEBUG    | connectionpool:241 | Starting new HTTP connection (1): 10.40.91.141:5100
2026-06-26 09:59:46 | DEBUG    | connectionpool:544 | http://10.40.91.11:8000 "POST /api/sync_cameras HTTP/1.1" 200 213
2026-06-26 09:59:47 | DEBUG    | connectionpool:241 | Starting new HTTP connection (1): 10.40.91.141:5100
2026-06-26 09:59:49 | DEBUG    | server_yolo:24 | {'server_id': 'SV_001', 'cpu_usage': 17.8, 'has_gpu': True, 'gpu_usage': 0, 'vram_free_gb': 3.23}
2026-06-26 09:59:49 | INFO     | _internal:97 | 10.40.91.11 - - [26/Jun/2026 09:59:49] "POST /api/heartbeat HTTP/1.1" 200 -
2026-06-26 09:59:55 | DEBUG    | connectionpool:241 | Starting new HTTP connection (1): 10.40.91.141:5100
2026-06-26 09:59:55 | DEBUG    | server_yolo:24 | {'server_id': 'SV_001', 'cpu_usage': 21.3, 'has_gpu': True, 'gpu_usage': 0, 'vram_free_gb': 3.23}
2026-06-26 09:59:55 | INFO     | _internal:97 | 10.40.91.11 - - [26/Jun/2026 09:59:55] "POST /api/heartbeat HTTP/1.1" 200 -
2026-06-26 09:59:56 | DEBUG    | connectionpool:241 | Starting new HTTP connection (1): 10.40.91.11:8000
2026-06-26 09:59:58 | DEBUG    | connectionpool:241 | Starting new HTTP connection (1): 10.40.91.141:5100
2026-06-26 10:00:01 | DEBUG    | server_yolo:24 | {'server_id': 'SV_001', 'cpu_usage': 21.1, 'has_gpu': True, 'gpu_usage': 0, 'vram_free_gb': 3.23}
2026-06-26 10:00:01 | INFO     | _internal:97 | 10.40.91.11 - - [26/Jun/2026 10:00:01] "POST /api/heartbeat HTTP/1.1" 200 -
2026-06-26 10:00:06 | DEBUG    | connectionpool:241 | Starting new HTTP connection (1): 10.40.91.141:5100
2026-06-26 10:00:07 | DEBUG    | server_yolo:24 | {'server_id': 'SV_001', 'cpu_usage': 20.6, 'has_gpu': True, 'gpu_usage': 0, 'vram_free_gb': 3.23}
2026-06-26 10:00:07 | INFO     | _internal:97 | 10.40.91.11 - - [26/Jun/2026 10:00:07] "POST /api/heartbeat HTTP/1.1" 200 -
2026-06-26 10:00:10 | DEBUG    | connectionpool:241 | Starting new HTTP connection (1): 10.40.91.141:5100
2026-06-26 10:00:12 | DEBUG    | connectionpool:241 | Starting new HTTP connection (1): 10.40.91.141:5100
2026-06-26 10:00:13 | DEBUG    | server_yolo:24 | {'server_id': 'SV_001', 'cpu_usage': 19.3, 'has_gpu': True, 'gpu_usage': 0, 'vram_free_gb': 3.23}
2026-06-26 10:00:13 | INFO     | _internal:97 | 10.40.91.11 - - [26/Jun/2026 10:00:13] "POST /api/heartbeat HTTP/1.1" 200 -
2026-06-26 10:00:19 | DEBUG    | server_yolo:24 | {'server_id': 'SV_001', 'cpu_usage': 16.7, 'has_gpu': True, 'gpu_usage': 0, 'vram_free_gb': 3.23}
2026-06-26 10:00:19 | INFO     | _internal:97 | 10.40.91.11 - - [26/Jun/2026 10:00:19] "POST /api/heartbeat HTTP/1.1" 200 -
2026-06-26 10:00:20 | DEBUG    | connectionpool:241 | Starting new HTTP connection (1): 10.40.91.141:5100
2026-06-26 10:00:24 | DEBUG    | connectionpool:241 | Starting new HTTP connection (1): 10.40.91.141:5100
2026-06-26 10:00:25 | DEBUG    | server_yolo:24 | {'server_id': 'SV_001', 'cpu_usage': 8.9, 'has_gpu': True, 'gpu_usage': 0, 'vram_free_gb': 3.23}
2026-06-26 10:00:25 | INFO     | _internal:97 | 10.40.91.11 - - [26/Jun/2026 10:00:25] "POST /api/heartbeat HTTP/1.1" 200 -
2026-06-26 10:00:31 | DEBUG    | server_yolo:24 | {'server_id': 'SV_001', 'cpu_usage': 15.8, 'has_gpu': True, 'gpu_usage': 0, 'vram_free_gb': 3.23}
2026-06-26 10:00:31 | INFO     | _internal:97 | 10.40.91.11 - - [26/Jun/2026 10:00:31] "POST /api/heartbeat HTTP/1.1" 200 -
2026-06-26 10:00:33 | DEBUG    | connectionpool:241 | Starting new HTTP connection (1): 10.40.91.141:5100
